date,avg_new_cases_7d
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.14
2020-01-19,0.14
2020-01-20,0.14
2020-01-21,0.14
2020-01-22,0.71
2020-01-23,1.0
2020-01-24,1.14
2020-01-25,1.0
2020-01-26,1.14
2020-01-27,1.14
2020-01-28,1.14
2020-01-29,0.57
2020-01-30,0.29
2020-01-31,0.29
2020-02-01,0.43
2020-02-02,0.71
2020-02-03,1.29
2020-02-04,1.57
2020-02-05,1.57
2020-02-06,1.57
2020-02-07,1.57
2020-02-08,1.43
2020-02-09,1.0
2020-02-10,0.43
2020-02-11,0.14
2020-02-12,0.43
2020-02-13,0.57
2020-02-14,0.57
2020-02-15,0.57
2020-02-16,0.57
2020-02-17,0.86
2020-02-18,1.57
2020-02-19,1.71
2020-02-20,1.71
2020-02-21,2.29
2020-02-22,3.43
2020-02-23,3.43
2020-02-24,3.71
2020-02-25,3.57
2020-02-26,4.29
2020-02-27,4.86
2020-02-28,4.71
2020-02-29,4.86
2020-03-01,7.43
2020-03-02,11.71
2020-03-03,18.43
2020-03-04,27.29
2020-03-05,37.57
2020-03-06,54.86
2020-03-07,74.0
2020-03-08,100.86
2020-03-09,150.86
2020-03-10,211.57
2020-03-11,269.0
2020-03-12,353.0
2020-03-13,449.29
2020-03-14,552.29
2020-03-15,743.14
2020-03-16,934.43
2020-03-17,1177.71
2020-03-18,1505.86
2020-03-19,1933.14
2020-03-20,2471.57
2020-03-21,3124.86
2020-03-22,3882.29
2020-03-23,4785.71
2020-03-24,5733.43
2020-03-25,6838.86
2020-03-26,8323.43
2020-03-27,9859.29
2020-03-28,11330.29
2020-03-29,13379.43
2020-03-30,13910.0
2020-03-31,15526.86
2020-04-01,17201.86
2020-04-02,18685.29
2020-04-03,20244.57
2020-04-04,21802.57
2020-04-05,21810.86
2020-04-06,23643.57
2020-04-07,24383.86
2020-04-08,25169.57
2020-04-09,25767.71
2020-04-10,25869.71
2020-04-11,25901.29
2020-04-12,26080.86
2020-04-13,25584.71
2020-04-14,25129.0
2020-04-15,24283.29
2020-04-16,24120.29
2020-04-17,24032.14
2020-04-18,23632.14
2020-04-19,23750.43
2020-04-20,24143.0
2020-04-21,24249.43
2020-04-22,25038.43
2020-04-23,25392.43
2020-04-24,26124.57
2020-04-25,26961.29
2020-04-26,27062.43
2020-04-27,26849.71
2020-04-28,26827.43
2020-04-29,26454.57
2020-04-30,26268.57
2020-05-01,26012.43
2020-05-02,25488.0
2020-05-03,25600.14
2020-05-04,25321.29
2020-05-05,25230.86
2020-05-06,25111.29
2020-05-07,24990.29
2020-05-08,24560.86
2020-05-09,24334.57
2020-05-10,23723.57
2020-05-11,23526.57
2020-05-12,23753.0
2020-05-13,22657.43
2020-05-14,23433.14
2020-05-15,23260.43
2020-05-16,23258.57
2020-05-17,23049.57
2020-05-18,23543.43
2020-05-19,23210.14
2020-05-20,24196.71
2020-05-21,22988.0
2020-05-22,22908.14
2020-05-23,22258.14
2020-05-24,22473.43
2020-05-25,21982.14
2020-05-26,21269.43
2020-05-27,20724.0
2020-05-28,20487.0
2020-05-29,20211.14
2020-05-30,20681.86
