country_name,date,daily_cases,pct_of_peak
Brazil,2020-01-01,1246,0.13
Brazil,2020-01-02,2931,0.31
Brazil,2020-01-03,1538,0.16
Brazil,2020-01-04,5820,0.62
Brazil,2020-01-05,3511,0.37
Brazil,2020-01-06,2613,0.28
Brazil,2020-01-07,1940,0.21
Brazil,2020-01-08,1404,0.15
Brazil,2020-01-09,553,0.06
Brazil,2020-01-10,240,0.03
Brazil,2020-01-11,727,0.08
Brazil,2020-01-12,1013,0.11
Brazil,2020-01-13,632,0.07
Brazil,2020-01-14,486,0.05
Brazil,2020-01-15,453,0.05
Brazil,2020-01-16,217,0.02
Brazil,2020-01-17,224,0.02
Brazil,2020-01-18,437,0.05
Brazil,2020-01-19,326,0.03
Brazil,2020-01-20,548,0.06
Brazil,2020-01-21,347,0.04
Brazil,2020-01-22,364,0.04
Brazil,2020-01-23,201,0.02
Brazil,2020-01-24,137,0.01
Brazil,2020-01-25,358,0.04
Brazil,2020-01-26,263,0.03
Brazil,2020-01-27,384,0.04
Brazil,2020-01-28,308,0.03
Brazil,2020-01-29,244,0.03
Brazil,2020-01-30,340,0.04
Brazil,2020-01-31,559,0.06
Brazil,2020-02-01,766,0.08
Brazil,2020-02-02,520,0.06
Brazil,2020-02-03,387,0.04
Brazil,2020-02-04,905,0.1
Brazil,2020-02-05,264,0.03
Brazil,2020-02-06,251,0.03
Brazil,2020-02-07,262,0.03
Brazil,2020-02-08,329,0.03
Brazil,2020-02-09,296,0.03
Brazil,2020-02-10,353,0.04
Brazil,2020-02-11,345,0.04
Brazil,2020-02-12,468,0.05
Brazil,2020-02-13,186,0.02
Brazil,2020-02-14,247,0.03
Brazil,2020-02-15,414,0.04
Brazil,2020-02-16,348,0.04
Brazil,2020-02-17,409,0.04
Brazil,2020-02-18,440,0.05
Brazil,2020-02-19,551,0.06
Brazil,2020-02-20,311,0.03
Brazil,2020-02-21,229,0.02
Brazil,2020-02-22,344,0.04
Brazil,2020-02-23,218,0.02
Brazil,2020-02-24,316,0.03
Brazil,2020-02-25,115,0.01
Brazil,2020-02-26,219,0.02
Brazil,2020-02-27,71,0.01
Brazil,2020-02-28,90,0.01
Brazil,2020-02-29,39,0.0
