store_name,total_sales_in_dollars
HY-VEE #3 / BDI / DES MOINES,10347326.7
CENTRAL CITY 2,9804199.1
ANOTHER ROUND / DEWITT,4611682.2
HY-VEE WINE AND SPIRITS #1 (1281) / IOWA CITY,4060497.8
BENZ DISTRIBUTING,3805475.0
WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,3176053.8
I-80 LIQUOR / COUNCIL BLUFFS,3013292.3
COSTCO WHOLESALE #788 / WDM,2570022.5
WILKIE LIQUORS,2433465.5
HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,2406708.4
SAM'S CLUB 8162 / CEDAR RAPIDS,2066215.0
SAM'S CLUB 6344 / WINDSOR HEIGHTS,2029277.3
MARSHALL BEER WINE SPIRITS,1742182.1
COSTCO WHOLESALE #1111 / CORALVILLE,1687432.6
HY-VEE #7 / CEDAR RAPIDS,1665511.7
