county,year,total_sales,yoy_growth
POLK,2023,105572104.48000003,105572004.5
POLK,2024,103222276.94000012,103222176.9
POLK,2022,100630597.0500001,100630497.1
POLK,2021,99027559.159999967,99027459.2
POLK,2020,89366700.61999996,89366600.6
POLK,2019,82838080.759999961,82837980.8
POLK,2018,78297081.759999961,78296981.8
POLK,2025,70622373.900000125,70622273.9
POLK,2017,70524271.510000035,70524171.5
POLK,2016,65849028.779999912,65848928.8
POLK,2015,63748122.619999848,63748022.6
POLK,2014,59476777.539999865,59476677.5
POLK,2013,56057048.320000105,56056948.3
LINN,2023,37577369.710000031,37577269.7
LINN,2024,37539964.100000031,37539864.1
